Shop Name,Contact,Address,State,City,GST
Lakshita (Delhi),919780759585,Mira Bai marg,Delhi,Delhi,
Herbal Beauty Parlour (Nagpur),919214107789,Ambika town ship,Maharashtra,Nagpur,
Filmistan Salon & Acedemy (Delhi),919999662964,RISHRA PARK HOOGHLY,Delhi,Delhi,
Beauty Lounge Salon (Shillong),919999601212,Sec 11,Meghalaya,Shillong,
Bindu Bp (Batala),919999597506,Sec 45c chandigarh,Punjab,Batala,
Hair London (Varanasi),919999418330,Cherata bazar,Uttar Pradesh,Varanasi,
Divine Beauty Unisex Salon (Jodhpur),919999294636,Sharma gali hisar,Rajasthan,Jodhpur,
Karishma Makeover (Khatuli),919999096043,Anand Nagar Nagpur,Uttar Pradesh,Khatuli,
Aryan Agency (Delhi),919997025447,Near d mart,Delhi,Delhi,
Kee Kaa Unisex Salon (Chandigarh),919996874410,Near lal devi mandir rani ka bagh,UT,Chandigarh,
Monika Beauty Parlour (Diglipur),919996749786,Santoshpur kolkata,Andaman and Nicobar Islands,Diglipur,
Harman Makeover (Zerakpur),919996585292,Korba palm mall,Punjab,Zerakpur,
Da Evolve Salon (Thiruvananthapuram),919996319550,"1, floor GDA tower Golghar gorakhpur",Kerala,Thiruvananthapuram,
Aaradhya Salon (Abohar),919996262222,Sec 31,Punjab,Abohar,
Mirror Scissors Salon (Madurai),919995110947,Raghav nagar colony Deoria,Tamil Nadu,Madurai,
Gorgeous Salon (Achankovil),919993408218,Ahmedgarh,Kerala,Achankovil,
Khubsurat Unisex Salon (Bangalore),919992855268,Sec 41 chandigarh,Karnataka,Bangalore,
Final Touch Unisex Saloon (Achaljamu),919992696336,Harjinder nagar,Jharkhand,Achaljamu,
Grandeur Salon (Lucknow),919990806650,Raghunath pur bbsr,Uttar Pradesh,Lucknow,
Anu Beauty Parlour (Amritsar),919990121127,"Ranghirkari, silchar",Punjab,Amritsar,
Blush And Blush (Shiliguri),919988866682,Saarnath,West Bengal,Shiliguri,
Aura Rejuvenate Salon (Hisar),919988719502,Dainik Jagran,Haryana,Hisar,
Salon Sew In Style (Nagpur),919988675432,", firozepur cantt",Maharashtra,Nagpur,
Kaya Glow Salon (Zerakpur),919988637182,bganan laibari more,Punjab,Zerakpur,
Alex International (MeerUT),919988509167,Sec 35,Uttar Pradesh,MeerUT,
Aura Glow (MeerUT),919988362793,Silchar nazirpatty,Uttar Pradesh,MeerUT,
Grace Salon Jalalabad (Noida),919988202299,Indora chock,Uttar Pradesh,Noida,
Dipali Makeover (Achankovil),919988083846,Yagnik road,Kerala,Achankovil,
Hair Trimmer Salon (Batala),919988053824,Sco 371 first floor sec 44D,Punjab,Batala,
Fabulous Saloon (Durg),919987130412,Gandhi market main market basti,Chhattisgarh,Durg,
Seema Make Over (Ludhiana),919986450888,"Main bajar, talwandi Bhai",Punjab,Ludhiana,
Styles N' Smiles (Only For Ladies) (Ludhiana),919986370737,Nirala Nagar 8 no. Chouraha,Punjab,Ludhiana,
Mansoon Pro Salon (Raipur),919982535264,Kn modi coMadhya Pradeshlex Modinagar,Chhattisgarh,Raipur,
Awadh Beauty Parlour (Jodhpur),919982107690,"A-24, Sector 31 Rd, Nithari Village, Sector 31, Noida",Rajasthan,Jodhpur,
Loveberry (Raipur),919981705576,amroha,Chhattisgarh,Raipur,
Id Unisex Salon (Bangalore),919980510440,"C-39, Sector 15, Basement, Noida",Karnataka,Bangalore,
La Vista  Salon (Chandigarh),919980210756,Husariya,Punjab,Chandigarh,
Nayan Beauty Parlour (Jalalabad),919978090989,Sector 76,Punjab,Jalalabad,
Miss Soni Beauty Point (Chandigarh),919978067580,PUThagaram,UT,Chandigarh,
Navya Glam Studio Fzr (Kharar),919977603330,Mansarovar road,Punjab,Kharar,
Divya Makeover (Jodhpur),919975358772,Durgavati chock,Rajasthan,Jodhpur,
Glamour & Glow (FARIDKOT),919975349355,N S road Malda,Punjab,FARIDKOT,
Dreams (Nagpur),919975332653,Hebbal,Maharashtra,Nagpur,
Indra Beauty Salon (Chandigarh),919975022907,Vvpuram,UT,Chandigarh,
Anicks Hair Studio Unisex Salon (Amritsar),919972657116,Adabari Tinili,Punjab,Amritsar,
Aamraya Makeover (Hisar),919971800495,Bhanunagar,Haryana,Hisar,
D Nex Salon (Modinagar),919971724800,B1-10 sagar Pur,Uttar Pradesh,Modinagar,
Apsara Unisex Studio (Delhi),919971555518,Lakshmi mkt hissar,Delhi,Delhi,
Regal (Coimbatore),919970769863,Arnia,Tamil Nadu,Coimbatore,
Angelic Salon (Raipur),919967760735,Ratnada airforce order collect,Chhattisgarh,Raipur,
Dogra Unisex Salon (Raipur),919967718680,P Road,Chhattisgarh,Raipur,
Kalon  Unisex Salon (Taran tarn),919966784364,Macon ranchi,Punjab,Taran tarn,
Dream Life Salon (Nagpur),919966239197,Subhash nagar panniya road,Maharashtra,Nagpur,
Glamazone Salon (Lucknow),919964386555,Hansi,Uttar Pradesh,Lucknow,
Elegant Touch Unisex Salon (Bhopal),919964218272,Boga mandi,Madhya Pradesh,Bhopal,
Bhargavi Beauty Parlour (Silchar),919961974545,Medical college,Assam,Silchar,
Style Sellon (Gorakhpur),919961619464,Aliganj,Uttar Pradesh,Gorakhpur,
Smart Look Beauty Parlour (Chandigarh),919961523852,"Golden enclave, Firozpur",UT,Chandigarh,
Hair Desire Salon (Nagpur),919958975533,"Shop no 109,lst floor zara awas coMadhya Pradeshlex gurgaon 122001",Maharashtra,Nagpur,
Bloom (Adra),919958537675,Opp red tape store,West Bengal,Adra,
Glow Shine Beauty Parlour (Gorakhpur),919958257535,Madhavpuram,Uttar Pradesh,Gorakhpur,
Koristaa Family Salon (Mawana),919956768891,"GF- 06, VVIP High Street Market, Gaur City 2, Greater Noida West",Uttar Pradesh,Mawana,
Nandani Salon (Chandigarh),919956387282,Bhanu nagar,UT,Chandigarh,
Beauty Care (Shiliguri),919956092084,"HHuda Market, Sector 21C, Near Park Hotel",West Bengal,Shiliguri,
Beard And Bangs (Jodhpur),919954735721,Sec-7,Rajasthan,Jodhpur,
Amrit Makeover (Lucknow),919954260827,"Shop no.21, G. Floor, ToT Mall, Sector 62",Uttar Pradesh,Lucknow,
Bhakti Mackover Salon (Chandigarh),919954056617,"Shop Nob 276, First Floor Block 1 Ganga Shopping CoMadhya Pradeshlex, Samarkand, Sector 29, Noida",UT,Chandigarh,
Azalea Salon (Lucknow),919953804912,"Post Office Road, Mango",Uttar Pradesh,Lucknow,
Goldan Glow Beauty Parlour (Kannur),919953592555,Manewada Road,Kerala,Kannur,
Ashu (Raipur),919953519325,BG road,Chhattisgarh,Raipur,
Hair Time Salon (Moga),919952618995,Near parvati hospital a block markit,Punjab,Moga,
Flying Kenchi Unisex Salon (MeerUT),919947212801,Sec 19,Uttar Pradesh,MeerUT,
Cut N Style Make Uttar Pradesh Studio (Varanasi),919946858686,Main road Dashrath Puri metro,Uttar Pradesh,Varanasi,
Glow & Shine Salon (Raipur),919946687227,Pathankot,Chhattisgarh,Raipur,
Arpita’S Lbp (Beas),919946091135,"SUttar PradeshERTECH ECO VILLAGE-1, 21 Uttar Pradeshper Ground Floor, SUttar Pradeshertech Mart, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201306",Punjab,Beas,
Kmo Unisex Salon (Ferozepore),919945678755,Swarnabhumi,Punjab,Ferozepore,
Korean Beauty Clinic Spa And Academy (Chandigarh),919945677866,Fafadih jail road,UT,Chandigarh,
Roshni Make Over (Other),919945616118,BrahaMadhya Pradeshuri,Andaman and Nicobar Islands,Other,
Black Salon And Spa (Chandigarh),919945367897,"MG-1-91' vikas Puri 
 Delhi -18",Punjab,Chandigarh,
Black Head Unisex Salon (Kanpur),919945264567,H 1 soUTh extn 1,Uttar Pradesh,Kanpur,
Preet Salon (Nagpur),919945248414,"Sector Market, Telco",Maharashtra,Nagpur,
Madu Shalini (Modinagar),919945048810,dimond point.,Uttar Pradesh,Modinagar,
Twisty Salon (Bhilwara),919944301712,Near vishal mega mart ranjit avenue,Rajasthan,Bhilwara,
Molly Unisex (Rajkot),919936940782,Santa cruz,Gujrat,Rajkot,
Dilnawaz Salon (Lucknow),919930329593,"Shop Nob 14, Block 1 Ganga Shopping CoMadhya Pradeshlex, Samarkand, Sector 29, Noida",Uttar Pradesh,Lucknow,
Lucury Lbp (Fatehabad),919929235646,"H No.365, Line No.12, Kashidih, Sakchi",Haryana,Fatehabad,
C 3 Makeover (Mysore),919928630402,Chunchghatta JP nagar,Karnataka,Mysore,
Ashiyana Salon (MeerUT),919927780288,Toot sahib bazar,Uttar Pradesh,MeerUT,
Kajal Hair Salon (Khatuli),919927074004,Anand Nagar,Uttar Pradesh,Khatuli,
R.D.S Salon (Mawana),919923045409,"Hopes, peelamedu",Uttar Pradesh,Mawana,
Purete (Varanasi),919923045409,Peelamedu,Uttar Pradesh,Varanasi,
Iora (Amritsar),919922431221,Masjid chownk,Punjab,Amritsar,
295 Unisex Salon (Ferozepore),919919940718,Jagdalpur,Punjab,Ferozepore,
Eleggance Salon (Hisar),919919507647,Brs Nagar,Haryana,Hisar,
Kashish Salon (Guwahati),919918860544,Old double story lajpat nagar,Assam,Guwahati,
Fashion (Jodhpur),919918563009,Lal bangla,Rajasthan,Jodhpur,
Jodhana Beauty Parlor (Kharar),919917121441,Near trillium mall,Punjab,Kharar,
