Product ID,Product Name,Product Category,Price,E1,D1,S1,S2
B0P0K007,Korean Glow Massage Cream - 300 gms,Korean Jar Range,1550,1313.56,775,720.75,651
B0P0K008,Korean Glow Clay Face Pack - 300 gms,Korean Jar Range,1475,1250,737.5,685.875,619.5
B0P0W001,Lipo Wax - Shear - Korean Glow,Advance Lipo Wax,1300,1101.69,650,604.5,546
B0P0W002,Lipo Wax - Shear - Turmeric,Advance Lipo Wax,1300,1101.69,650,604.5,546
B0P0W003,Lipo Wax - Shear - Aloe Rose,Advance Lipo Wax,1100,932.2,550,511.5,462
B0P0W004,Lipo Wax - Shear - White Chocolate,Advance Lipo Wax,1100,932.2,550,511.5,462
B0P0C001,5 step Coctail Pedicure - Americano,Cocktail Range,395,334.75,197.5,183.675,165.9
B0P0C002,5 step Coctail Pedicure - French 75,Cocktail Range,395,334.75,197.5,183.675,165.9
B0P0C003,5 step Coctail Pedicure - Mai Tai,Cocktail Range,395,334.75,197.5,183.675,165.9
B0P0C004,5 step Coctail Pedicure - Palmer,Cocktail Range,395,334.75,197.5,183.675,165.9
B0P0C005,5 step Coctail Pedicure - Paloma,Cocktail Range,395,334.75,197.5,183.675,165.9
B0P0C006,5 step Coctail Pedicure - Sangria,Cocktail Range,395,334.75,197.5,183.675,165.9
B0P0C007,6 step coctail facial - Black Berry,Cocktail Range,675,572.03,337.5,313.875,283.5
B0P0C008,6 step coctail facial - Gaelic,Cocktail Range,675,572.03,337.5,313.875,283.5
B0P0C009,6 step coctail facial - Gimlet,Cocktail Range,675,572.03,337.5,313.875,283.5
B0P0C010,6 step coctail facial - Matcha,Cocktail Range,675,572.03,337.5,313.875,283.5
B0P0C011,6 step coctail facial - Monarch,Cocktail Range,675,572.03,337.5,313.875,283.5
B0P0C012,6 step coctail facial - Negroni,Cocktail Range,675,572.03,337.5,313.875,283.5
B0P0P001,Spice & Sugar Body Polishing Kit,Body Polishing Kit,1700,1440.68,850,790.5,714
B0P0H001,Korean Hair Elixir,Korean Hair Oil,425,360.17,212.5,197.625,178.5
B0P0H002,Korean Hair Oil,Korean Hair Oil,475,402.54,237.5,220.875,199.5
B0P0D005,Pre Wax,Advance Lipo Wax,125,105.93,62.5,58.125,52.5
B0P0D006,Post Oil,Advance Lipo Wax,125,105.93,62.5,58.125,52.5
B0P0S010,De Tan - 60 gms,Salon Jars Range,275,233.05,137.5,127.875,115.5
